movie_id,title,budget,original_language,overview,popularity,revenue,runtime,release_status,vote_average,vote_count,genre_id,genre_name,production_company_id,production_company_name,rn,release_year,profit,success
301325,#Horror,1500000,de,"Inspired by actual events, a group of 12 year old girls face a night of horror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.",2.815228,0.0,90.0,Released,3.3,52,18,Drama,75277,AST Studios,1,2015,-1500000.0,0
19913,(500) Days of Summer,7500000,en,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",45.610993,60722734.0,95.0,Released,7.2,2904,18,Drama,43,Fox Searchlight Pictures,1,2009,53222734.0,1
333371,10 Cloverfield Lane,15000000,en,"""After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to """"get good on those"""" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?""",53.698683,108286421.0,103.0,Released,6.8,2468,18,Drama,4,Paramount Pictures,1,2016,93286421.0,1
4951,10 Things I Hate About You,16000000,en,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",54.550275,53478166.0,97.0,Released,7.3,1701,18,Drama,1757,Mad Chance,1,1999,37478166.0,1
10481,102 Dalmatians,85000000,en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",9.895061,183611771.0,100.0,Released,5.1,313,35,Comedy,2,Walt Disney Pictures,1,2000,98611771.0,1
13197,10th & Wolf,8000000,en,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",3.942464,143451.0,107.0,Released,6.3,24,18,Drama,446,Thinkfilm,1,2006,-7856549.0,0
9282,11:14,6000000,en,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,15.048067,0.0,86.0,Released,6.8,206,18,Drama,1838,Firm Films,1,2003,-6000000.0,0
389,12 Angry Men,350000,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204,1000000.0,96.0,Released,8.2,2078,18,Drama,60,United Artists,1,1957,650000.0,1
17134,12 Rounds,20000000,en,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",15.66135,17280326.0,108.0,Released,5.7,220,12,Adventure,1557,The Mark Gordon Company,1,2009,-2719674.0,0
76203,12 Years a Slave,20000000,en,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, SolomonÆs chance meeting with a Canadian abolitionist will forever alter his life.",95.9229,187000000.0,134.0,Released,7.9,3674,18,Drama,81,Plan B Entertainment,1,2013,167000000.0,1
44115,127 Hours,18000000,en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,52.464877,35692920.0,94.0,Released,7.0,2606,12,Adventure,43,Fox Searchlight Pictures,1,2010,17692920.0,0
10096,13 Going on 30,37000000,en,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",41.569541,96455697.0,98.0,Released,6.3,1204,14,Fantasy,5,Columbia Pictures,1,2004,59455697.0,1
300671,13 Hours: The Secret Soldiers of Benghazi,50000000,en,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,42.526529,69411370.0,144.0,Released,7.0,938,18,Drama,4,Paramount Pictures,1,2016,19411370.0,0
3021,1408,25000000,en,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",35.169779,94679598.0,104.0,Released,6.5,1343,27,Horror,308,The Weinstein Company,1,2007,69679598.0,1
2749,15 Minutes,60000000,en,"""When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show """"Top Story.""""""",15.205371,56359980.0,120.0,Released,5.7,191,28,Action,12,New Line Cinema,1,2001,-3640020.0,0
2207,16 Blocks,55000000,en,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",32.31022,65664721.0,105.0,Released,6.2,661,12,Adventure,431,Donners' Company,1,2006,10664721.0,0
91122,16 to Life,0,en,Romantic comedy. A small town teenager's angst about sexual inexperience drives a comic quest for love and understanding on a birthday to end all birthdays.,0.108468,0.0,118.0,Released,4.4,5,35,Comedy,59196,Duck Farm Films,1,2009,0.0,0
16996,17 Again,20000000,en,"""On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a """"do-over."""" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.""",52.571674,136267476.0,102.0,Released,6.1,1350,35,Comedy,12,New Line Cinema,1,2009,116267476.0,1
14902,1776,0,en,"The film focuses on the representatives of the Thirteen original colonies who participated in the Second Continental Congress. 1776 depicts the three months of deliberation (and, oftentimes, acrimonious debate) that led up to the signing of one of the most important documents in the History of the United States, the Declaration of Independence.",1.807571,0.0,142.0,Released,7.1,20,18,Drama,441,Columbia Pictures Corporation,1,1972,0.0,0
76349,1911,30000000,zh,"At the beginning of the 20th century, China is in a state of crisis. The country is split into warring factions, the citizens are starving, and recent political reforms have made matters worse, not better. The ruling Qing Dynasty, led by a seven-year-old emperor, and his ruthless mother, Empress Dowager Longyu is completely out of touch after 250 years of unquestioned power. Huang Xing has recently returned from Japan, where he has studied the art of modern warfare. When he finds his country falling apart, he feels he has no choice but to pick up the sword.",4.065212,108348.0,125.0,Released,5.0,41,12,Adventure,15071,Variance Films,1,2011,-29891652.0,0
11519,1941,35000000,en,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",10.032626,31755742.0,113.0,Released,5.6,143,28,Action,5,Columbia Pictures,1,1979,-3244258.0,0
584,2 Fast 2 Furious,76000000,en,"""It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of """"dirty"""" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.""",10.520961,236350661.0,107.0,Released,6.2,2028,28,Action,24,Mikona Productions GmbH & Co. KG,1,2003,160350661.0,1
136400,2 Guns,61000000,en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,42.881415,131940411.0,109.0,Released,6.6,1589,28,Action,13,Universal Studios,1,2013,70940411.0,1
111794,20 Dates,0,en,"""Myles is divorced in L.A. He wants a love life and a film career. So he decides to go on 20 dates and find true love in front of a camera, making his first feature. His patient agent, Richard, finds a $60,000 investor, the shadowy Elie. Myles starts his search, sometimes telling his date she's being filmed, sometimes not. Elie wants sex and titillation, Myles wants it """"real."""" Myles regularly talks with his old film teacher, Robert McKee, who wonders if love is possible in modern life. Half-way through the 20 dates, Myles meets Elisabeth; she's everything he desires and she likes him. Can he finish the 20 dates, satisfy Elie, and complete his film without losing Elisabeth?""",0.408073,0.0,87.0,Released,3.7,3,35,Comedy,43,Fox Searchlight Pictures,1,1998,0.0,0
159014,20 Feet from Stardom,1000000,en,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.",5.247956,0.0,89.0,Released,7.4,85,99,Documentary,58637,Tremolo Productions,1,2013,-1000000.0,0
173,"20,000 Leagues Under the Sea",5000000,en,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,28200000.0,127.0,Released,6.8,157,12,Adventure,3166,Walt Disney Productions,1,1954,23200000.0,1
15256,200 Cigarettes,6000000,en,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",3.561198,6852450.0,101.0,Released,6.1,44,18,Drama,4,Paramount Pictures,1,1999,852450.0,0
62,2001: A Space Odyssey,10500000,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,68700000.0,149.0,Released,7.9,2998,12,Adventure,385,Stanley Kubrick Productions,1,1968,58200000.0,1
14161,2012,200000000,en,"""Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build """"arks"""" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.""",45.274225,769653595.0,158.0,Released,5.6,4903,12,Adventure,5,Columbia Pictures,1,2009,569653595.0,1
844,2046,12000000,zh,"2046 is the sequel to Wong Kar-WaisÆ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su.",12.664787,19271312.0,129.0,Released,6.9,206,14,Fantasy,255,Paradis Films,1,2004,7271312.0,0
8065,21,35000000,en,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",45.149948,69823199.0,123.0,Released,6.5,1375,18,Drama,5,Columbia Pictures,1,2008,34823199.0,0
107811,21 & Over,13000000,en,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",35.522027,48065672.0,93.0,Released,5.7,737,35,Comedy,7295,Relativity Media,1,2013,35065672.0,1
470,21 Grams,20000000,en,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English TmigrT, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",32.243357,60427839.0,124.0,Released,7.2,918,18,Drama,10059,This Is That Productions,1,2003,40427839.0,1
64688,21 Jump Street,42000000,en,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",62.714026,201585328.0,109.0,Released,6.7,4074,28,Action,5,Columbia Pictures,1,2012,159585328.0,1
187017,22 Jump Street,50000000,en,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",52.380982,188441614.0,112.0,Released,7.0,3319,28,Action,5,Columbia Pictures,1,2014,138441614.0,1
22913,24 7: Twenty Four Seven,0,en,"In a typical English working-class town, the juveniles have nothing more to do than hang around in gangs. One day, Alan Darcy, a highly motivated man with the same kind of youth experience, starts trying to get the young people off the street and into doing something they can believe in: Boxing. Darcy opens a boxing club, aiming to bring the rival gangs together.",0.744406,0.0,96.0,Released,6.3,10,18,Drama,4189,Scala Films,1,1997,0.0,0
1429,25th Hour,15000000,en,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",30.196039,13060843.0,135.0,Released,7.2,629,18,Drama,4319,40 Acres & A Mule Filmworks,1,2002,-1939157.0,0
6557,27 Dresses,30000000,en,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,30.695228,160259319.0,111.0,Released,6.1,978,35,Comedy,158,Spyglass Entertainment,1,2008,130259319.0,1
10468,28 Days,43000000,en,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",5.418921,0.0,103.0,Released,6.0,208,18,Drama,5,Columbia Pictures,1,2000,-43000000.0,0
170,28 Days Later,5000000,en,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",45.490374,82719885.0,113.0,Released,7.1,1777,27,Horror,284,DNA Films,1,2002,77719885.0,1
1562,28 Weeks Later,15000000,en,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",34.759855,64238440.0,100.0,Released,6.5,1197,27,Horror,284,DNA Films,1,2007,49238440.0,1
39303,2:13,3500000,en,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must confront the all too-familiar flesh masks that the killer leaves on the faces of his victims. He must face his own demons along with the killer to save his small eroding existence.",1.271621,0.0,96.0,Released,4.6,10,27,Horror,23818,Anthem Pictures,1,2009,-3500000.0,0
68412,3 Backyards,0,en,The story of three people from the same suburban town during the course of one curious autumn day.,0.17817,0.0,88.0,Released,4.8,4,18,Drama,64857,Caruso / Mendelsohn Productions,1,2010,0.0,0
192102,3 Days to Kill,28000000,en,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",41.638961,52597999.0,113.0,Released,6.0,883,18,Drama,4022,Wonderland Sound and Vision,1,2014,24597999.0,0
18885,3 Ninjas Kick Back,0,en,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",2.645722,0.0,93.0,Released,4.5,48,12,Adventure,559,TriStar Pictures,1,1994,0.0,0
4513,30 Days of Night,30000000,en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",33.394082,75505973.0,113.0,Released,6.2,767,27,Horror,5,Columbia Pictures,1,2007,45505973.0,1
62206,30 Minutes or Less,28000000,en,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",25.039383,40547440.0,83.0,Released,5.6,531,12,Adventure,5,Columbia Pictures,1,2011,12547440.0,0
157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,0,en,"After a stint in a psychiatric hospital, a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism.",1.737032,0.0,80.0,Released,2.9,28,35,Comedy,2262,Silver Nitrate Films,1,2013,0.0,0
1271,300,65000000,en,"""Based on Frank Miller's graphic novel, """"300"""" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.""",65.197968,422610419.0,117.0,Released,7.0,4997,12,Adventure,449,Virtual Studios,1,2006,357610419.0,1
12138,3000 Miles to Graceland,62000000,en,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy.",11.262655,18720175.0,125.0,Released,5.8,178,12,Adventure,1403,Franchise Pictures,1,2001,-43279825.0,0
53182,300: Rise of an Empire,110000000,en,"""Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster """"300,"""" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. """"300: Rise of an Empire"""" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.""",71.510596,337580051.0,102.0,Released,6.1,2397,28,Action,923,Legendary Pictures,1,2014,227580051.0,1
5176,3:10 to Yuma,55000000,en,"""In Arizona in the late 1800's, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the """"3:10 to Yuma"""", a train that will take the killer to trial.""",48.801089,70016220.0,122.0,Released,6.9,1188,37,Western,84,Tree Line Films,1,2007,15016220.0,0
2009,"4 Months, 3 Weeks and 2 Days",852510,ro,"Gabita is pregnant, abortion is strictly forbidden in Romania during the communist regime. Despite this it is common practice and Gabita wants an abortion. The movie follows her and her friend Otilia during the day she has made the appointment with Mr. Bebe to have the abortion.",9.270133,1185783.0,113.0,Released,7.3,156,18,Drama,859,Saga Film,1,2007,333273.0,0
2752,40 Days and 40 Nights,17000000,en,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",14.18136,0.0,94.0,Released,5.2,297,35,Comedy,14,Miramax Films,1,2002,-17000000.0,0
109410,42,40000000,en,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League BaseballÆs color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative DodgersÆ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",31.884559,95020213.0,128.0,Released,6.8,787,18,Drama,6194,Warner Bros.,1,2013,55020213.0,1
3062,42nd Street,439000,en,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1.933366,2281000.0,89.0,Released,6.1,37,35,Comedy,6194,Warner Bros.,1,1933,1842000.0,1
64686,47 Ronin,175000000,en,"Based on the original 1941 movie from Japan, and from ancient JapanÆs most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",41.796339,150962475.0,119.0,Released,5.9,1326,12,Adventure,2735,Mid Atlantic Films,1,2013,-24037525.0,0
50601,5 Days of War,20000000,en,"An American journalist and his cameraman are caught in the combat zone during the first Russian airstrikes against Georgia. Rescuing Tatia, a young Georgian schoolteacher separated from her family during the attack, the two reporters agree to help reunite her with her family in exchange for serving as their interpreter. As the three attempt to escape to safety, they witness--and document--the devastation from the full-scale crossfire and cold-blooded murder of innocent civilians.",5.727602,17479.0,113.0,Released,5.8,62,18,Drama,17887,Midnight Sun Pictures,1,2011,-19982521.0,0
1824,50 First Dates,75000000,en,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over againàand again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",61.437586,196482882.0,99.0,Released,6.6,2105,35,Comedy,441,Columbia Pictures Corporation,1,2004,121482882.0,1
40807,50/50,8000000,en,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",33.372828,39187783.0,100.0,Released,7.0,1261,18,Drama,491,Summit Entertainment,1,2011,31187783.0,1
79161,51 Birch Street,0,en,"Documentary filmmaker Doug Block had every reason to believe his parents' 54-year marriage was a good one. But when his mother dies unexpectedly and his father swiftly marries his former secretary, he discovers two parents who are far more complex and troubled than he ever imagined. 51 Birch Street is a riveting personal documentary that explores a universal human question: how much about your parents do you really want to know?",0.049921,0.0,90.0,Released,6.8,6,99,Documentary,8139,Copacetic Pictures,1,2006,0.0,0
3682,54,13000000,en,"Shane, a Jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at Studio 54. When Steve Rubell, the mastermind behind the infamous disco, plucks Shane from the sea of faces clamoring to get inside his club, Shane not only gets his foot in the door, but lands a coveted job behind the bar û and a front-row seat at the most legendary party on the planet.",11.880899,16757163.0,106.0,Released,5.5,135,18,Drama,1483,Redeemable Features,1,1998,3757163.0,0
